country,year,sex,age,suicides_no,population
Germany,2006,female,55-74 years,826,9713785
Germany,2006,female,75+ years,611,4471494
Germany,2006,male,15-24 years,455,4922196
Germany,2006,male,25-34 years,629,4963413
Germany,2006,male,35-54 years,2653,13148811
Germany,2006,male,5-14 years,20,4107557
Germany,2006,male,55-74 years,2314,9032770
Germany,2006,male,75+ years,1160,2328668
Germany,2007,female,15-24 years,110,4678848
Germany,2007,female,25-34 years,145,4782312
Germany,2007,female,35-54 years,742,12662132
Germany,2007,female,5-14 years,9,3835107
Germany,2007,female,55-74 years,796,9816096
Germany,2007,female,75+ years,595,4503136
Germany,2007,male,15-24 years,448,4875778
Germany,2007,male,25-34 years,654,4913538
Germany,2007,male,35-54 years,2539,13116847
Germany,2007,male,5-14 years,15,4039955
Germany,2007,male,55-74 years,2213,9135373
Germany,2007,male,75+ years,1143,2417463
Germany,2008,female,15-24 years,130,4619410
Germany,2008,female,25-34 years,157,4780395
Germany,2008,female,35-54 years,761,12574802
Germany,2008,female,5-14 years,6,3776108
Germany,2008,female,55-74 years,768,9926040
Germany,2008,female,75+ years,592,4521561
Germany,2008,male,15-24 years,456,4821264
Germany,2008,male,25-34 years,632,4906502
Germany,2008,male,35-54 years,2598,13021164
Germany,2008,male,5-14 years,11,3978422
Germany,2008,male,55-74 years,2199,9240436
Germany,2008,male,75+ years,1149,2496685
Germany,2009,female,15-24 years,121,4552176
Germany,2009,female,25-34 years,146,4784538
Germany,2009,female,35-54 years,788,12445519
Germany,2009,female,5-14 years,9,3726357
Germany,2009,female,55-74 years,789,9995593
Germany,2009,female,75+ years,520,4569198
Germany,2009,male,15-24 years,443,4760066
Germany,2009,male,25-34 years,637,4909814
Germany,2009,male,35-54 years,2628,12872657
Germany,2009,male,5-14 years,12,3925018
Germany,2009,male,55-74 years,2277,9307706
Germany,2009,male,75+ years,1209,2599960
Germany,2010,female,15-24 years,132,4489057
Germany,2010,female,25-34 years,177,4807946
Germany,2010,female,35-54 years,805,12316695
Germany,2010,female,5-14 years,6,3687564
Germany,2010,female,55-74 years,851,10027136
Germany,2010,female,75+ years,588,4669323
Germany,2010,male,15-24 years,474,4702588
Germany,2010,male,25-34 years,735,4940288
Germany,2010,male,35-54 years,2605,12731842
Germany,2010,male,5-14 years,22,3883512
Germany,2010,male,55-74 years,2358,9350157
Germany,2010,male,75+ years,1277,2742959
Germany,2011,female,15-24 years,122,4432422
Germany,2011,female,25-34 years,188,4854346
Germany,2011,female,35-54 years,757,12196847
Germany,2011,female,5-14 years,9,3641215
Germany,2011,female,55-74 years,802,10049757
Germany,2011,female,75+ years,624,4791265
Germany,2011,male,15-24 years,461,4653810
Germany,2011,male,25-34 years,684,5006064
Germany,2011,male,35-54 years,2582,12614051
Germany,2011,male,5-14 years,12,3835083
Germany,2011,male,55-74 years,2538,9396062
Germany,2011,male,75+ years,1374,2900218
Germany,2012,female,15-24 years,121,4384528
Germany,2012,female,25-34 years,187,4917857
Germany,2012,female,35-54 years,810,12089833
Germany,2012,female,5-14 years,9,3590435
Germany,2012,female,55-74 years,873,10078469
Germany,2012,female,75+ years,607,4920842
Germany,2012,male,15-24 years,439,4612682
Germany,2012,male,25-34 years,699,5099210
Germany,2012,male,35-54 years,2408,12515919
Germany,2012,male,5-14 years,11,3782823
Germany,2012,male,55-74 years,2302,9453082
Germany,2012,male,75+ years,1430,3062435
Germany,2013,female,15-24 years,111,4259808
Germany,2013,female,25-34 years,188,4928834
Germany,2013,female,35-54 years,808,11835769
Germany,2013,female,5-14 years,12,3529729
Germany,2013,female,55-74 years,875,9995322
Germany,2013,female,75+ years,641,4984061
Germany,2013,male,15-24 years,391,4474441
Germany,2013,male,25-34 years,739,5060529
Germany,2013,male,35-54 years,2423,12049310
Germany,2013,male,5-14 years,6,3723771
Germany,2013,male,55-74 years,2379,9314147
Germany,2013,male,75+ years,1518,3115267
Germany,2014,female,15-24 years,121,4215773
Germany,2014,female,25-34 years,182,5005685
Germany,2014,female,35-54 years,801,11728001
Germany,2014,female,5-14 years,8,3501907
Germany,2014,female,55-74 years,855,10013338
Germany,2014,female,75+ years,621,5151214
Germany,2014,male,15-24 years,397,4452615
Germany,2014,male,25-34 years,750,5179803
Germany,2014,male,35-54 years,2444,11949414
Germany,2014,male,5-14 years,20,3695813
Germany,2014,male,55-74 years,2410,9358747
Germany,2014,male,75+ years,1608,3300059
Germany,2015,female,15-24 years,136,4195185
Germany,2015,female,25-34 years,193,5061297
Germany,2015,female,35-54 years,800,11616616
Germany,2015,female,5-14 years,13,3517216
Germany,2015,female,55-74 years,908,10054932
Germany,2015,female,75+ years,635,5338738
Germany,2015,male,15-24 years,376,4520300
Germany,2015,male,25-34 years,721,5336932
Germany,2015,male,35-54 years,2267,11854531
Germany,2015,male,5-14 years,6,3716736
Germany,2015,male,55-74 years,2304,9436572
Germany,2015,male,75+ years,1729,3487628
